;price;floor_area;age;floor;roof;room_num;hall_num;neighborhood
0;2300000;75;0;14;0;1;1;SahrayıCedit Mahallesi
1;4690000;165;17;5;0;3;1;Feneryolu Mahallesi
2;6500000;145;5;7;0;3;1;Göztepe Mahallesi
3;6300000;165;15;10;0;3;1;Göztepe Mahallesi
4;5500000;145;12;1;0;3;1;Göztepe Mahallesi
5;4230000;138;4;10;0;3;1;Kozyatağı Mahallesi
6;1600000;130;30;2;0;3;1;Bostancı Mahallesi
7;3950000;120;4;3;0;3;1;Bostancı Mahallesi
8;2200000;150;24;0;0;3;1;Suadiye Mahallesi
9;15400000;230;6;8;0;3;1;Fenerbahçe Mahallesi
10;3675000;125;25;2;0;3;1;Suadiye Mahallesi
11;3275000;160;29;4;0;3;1;Erenköy Mahallesi
12;2485000;105;30;0;0;2;1;Caddebostan Mahallesi
13;2700000;100;3;7;0;2;1;Göztepe Mahallesi
14;5950000;150;4;5;0;3;1;Bostancı Mahallesi
15;3500000;104;0;0;0;2;1;Göztepe Mahallesi
16;4200000;155;2;1;0;3;1;Suadiye Mahallesi
17;6750000;110;0;4;0;2;1;Caddebostan Mahallesi
18;3850000;150;0;5;0;3;1;Erenköy Mahallesi
19;5300000;130;4;4;0;3;1;Caddebostan Mahallesi
20;5500000;160;3;4;0;3;1;Erenköy Mahallesi
21;13600000;170;2;9;0;3;1;Fenerbahçe Mahallesi
22;3100000;135;0;7;0;3;1;Merdivenköy Mahallesi
23;4450000;220;23;1;0;4;1;SahrayıCedit Mahallesi
24;9500000;160;0;14;0;3;1;Bostancı Mahallesi
25;4995000;220;30;3;0;4;1;Feneryolu Mahallesi
26;3950000;135;4;3;0;3;1;Bostancı Mahallesi
27;6750000;250;16;7;0;4;1;Suadiye Mahallesi
28;3000000;110;0;8;0;3;1;Merdivenköy Mahallesi
29;3495000;160;28;4;0;3;1;Erenköy Mahallesi
30;13500000;250;0;11;0;4;2;Erenköy Mahallesi
31;4450000;240;27;1;0;4;1;Bostancı Mahallesi
32;4550000;130;10;3;0;3;1;Göztepe Mahallesi
33;6500000;280;21;7;0;4;1;Caddebostan Mahallesi
34;7250000;120;0;0;0;3;1;Suadiye Mahallesi
35;2580000;110;4;1;0;3;1;SahrayıCedit Mahallesi
36;9200000;310;2;14;0;4;2;Caddebostan Mahallesi
37;17750000;390;0;11;0;6;2;Caddebostan Mahallesi
38;28800000;300;0;9;0;5;2;Fenerbahçe Mahallesi
39;4000000;140;3;5;1;2;1;Göztepe Mahallesi
40;5195000;145;4;4;0;3;1;Caddebostan Mahallesi
41;3500000;160;30;3;0;3;1;Erenköy Mahallesi
42;2950000;165;24;2;0;3;1;Erenköy Mahallesi
43;11000000;157;0;7;0;3;1;Suadiye Mahallesi
44;13700000;320;4;9;0;4;2;Caddebostan Mahallesi
45;11000000;200;4;2;0;4;1;Suadiye Mahallesi
46;14000000;450;3;10;0;7;2;Caddebostan Mahallesi
47;10450000;290;0;12;0;6;2;Fenerbahçe Mahallesi
48;4895000;210;4;10;0;4;2;Suadiye Mahallesi
